cohort,site,layer,direction,condition,label_scope,pairs,unique_recipients,recipient_schedules,baseline_accuracy,patched_accuracy,repair_count,damage_count,buffered_repair_count,buffered_damage_count,full_vocab_repair_count,full_vocab_damage_count,repair_rate_among_baseline_incorrect,damage_rate_among_baseline_correct,choice_changes,mean_truth_signed_change,mean_directional_effect,recipient_weighted_truth_signed_change,recipient_weighted_patched_accuracy,baseline_full_vocab_next_token_accuracy,patched_full_vocab_next_token_accuracy,run_complete
grid_train_followup,answer_prefix,30,denoising,cross_patch,all_emitted_pairs,21,21,12,0.0,1.0,21,0,12,0,21,0,1.0,,21,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,0.0,1.0,False
grid_train_followup,answer_prefix,30,denoising,off_target,all_emitted_pairs,21,21,12,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,False
grid_train_followup,answer_prefix,30,denoising,resampled_self_fallback,all_emitted_pairs,9,9,7,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,False
grid_train_followup,answer_prefix,30,denoising,same_label_resampled,all_emitted_pairs,12,12,9,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,False
grid_train_followup,answer_prefix,30,denoising,self_patch,all_emitted_pairs,21,21,12,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,False
grid_train_followup,answer_prefix,30,denoising,training_group_mean,all_emitted_pairs,21,21,12,0.0,0.6190476190476191,13,0,3,0,13,0,0.6190476190476191,,15,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.0,0.6190476190476191,False
grid_train_followup,answer_prefix,30,noising,cross_patch,all_emitted_pairs,20,20,14,1.0,0.0,0,20,0,10,0,20,,1.0,20,-0.8875,0.8875,-0.8875,0.0,1.0,0.0,False
grid_train_followup,answer_prefix,30,noising,off_target,all_emitted_pairs,20,20,14,1.0,1.0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,False
grid_train_followup,answer_prefix,30,noising,resampled_self_fallback,all_emitted_pairs,2,2,2,1.0,1.0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,False
grid_train_followup,answer_prefix,30,noising,same_label_resampled,all_emitted_pairs,18,18,12,1.0,1.0,0,0,0,0,0,0,,0.0,0,-0.006944444444444444,0.006944444444444444,-0.006944444444444444,1.0,1.0,1.0,False
grid_train_followup,answer_prefix,30,noising,self_patch,all_emitted_pairs,20,20,14,1.0,1.0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,False
grid_train_followup,answer_prefix,30,noising,training_group_mean,all_emitted_pairs,20,20,14,1.0,0.65,0,7,0,1,0,7,,0.35,7,-0.4,0.4,-0.4,0.65,1.0,0.65,False
grid_train_followup,final_prompt,13,denoising,cross_patch,all_emitted_pairs,21,21,12,0.0,0.0,0,0,0,0,0,0,0.0,,1,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.0,0.0,0.0,False
grid_train_followup,final_prompt,13,denoising,off_target,all_emitted_pairs,21,21,12,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,False
grid_train_followup,final_prompt,13,denoising,resampled_self_fallback,all_emitted_pairs,9,9,7,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,False
grid_train_followup,final_prompt,13,denoising,same_label_resampled,all_emitted_pairs,12,12,9,0.0,0.0,0,0,0,0,0,0,0.0,,1,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,False
grid_train_followup,final_prompt,13,denoising,self_patch,all_emitted_pairs,21,21,12,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,False
grid_train_followup,final_prompt,13,denoising,training_group_mean,all_emitted_pairs,21,21,12,0.0,0.0,0,0,0,0,0,0,0.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,False
