cohort,site,layer,direction,condition,label_scope,pairs,unique_recipients,recipient_schedules,baseline_accuracy,patched_accuracy,repair_count,damage_count,buffered_repair_count,buffered_damage_count,full_vocab_repair_count,full_vocab_damage_count,repair_rate_among_baseline_incorrect,damage_rate_among_baseline_correct,choice_changes,mean_truth_signed_change,mean_directional_effect,recipient_weighted_truth_signed_change,recipient_weighted_patched_accuracy,baseline_full_vocab_next_token_accuracy,patched_full_vocab_next_token_accuracy,run_complete
discovery_grid_train,answer_prefix,0,denoising,cross_patch,all_emitted_pairs,10,10,8,0.0,0.0,0,0,0,0,1,0,0.0,,1,0.025,0.025,0.025,0.0,0.0,0.1,True
discovery_grid_train,answer_prefix,0,denoising,self_patch,all_emitted_pairs,10,10,8,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,True
discovery_grid_train,answer_prefix,0,noising,cross_patch,all_emitted_pairs,10,10,7,1.0,1.0,0,0,0,0,0,0,,0.0,0,-0.0125,0.0125,-0.0125,1.0,1.0,1.0,True
discovery_grid_train,answer_prefix,0,noising,self_patch,all_emitted_pairs,10,10,7,1.0,1.0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,True
discovery_grid_train,answer_prefix,1,denoising,cross_patch,all_emitted_pairs,10,10,8,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.025,0.025,0.025,0.0,0.0,0.0,True
discovery_grid_train,answer_prefix,1,denoising,self_patch,all_emitted_pairs,10,10,8,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,True
discovery_grid_train,answer_prefix,1,noising,cross_patch,all_emitted_pairs,10,10,7,1.0,1.0,0,0,0,0,0,0,,0.0,0,0.0125,-0.0125,0.0125,1.0,1.0,1.0,True
discovery_grid_train,answer_prefix,1,noising,self_patch,all_emitted_pairs,10,10,7,1.0,1.0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,True
discovery_grid_train,answer_prefix,2,denoising,cross_patch,all_emitted_pairs,10,10,8,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.025,0.025,0.025,0.0,0.0,0.0,True
discovery_grid_train,answer_prefix,2,denoising,self_patch,all_emitted_pairs,10,10,8,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,True
discovery_grid_train,answer_prefix,2,noising,cross_patch,all_emitted_pairs,10,10,7,1.0,1.0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,True
discovery_grid_train,answer_prefix,2,noising,self_patch,all_emitted_pairs,10,10,7,1.0,1.0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,True
discovery_grid_train,answer_prefix,3,denoising,cross_patch,all_emitted_pairs,10,10,8,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0125,0.0125,0.0125,0.0,0.0,0.0,True
discovery_grid_train,answer_prefix,3,denoising,self_patch,all_emitted_pairs,10,10,8,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,True
discovery_grid_train,answer_prefix,3,noising,cross_patch,all_emitted_pairs,10,10,7,1.0,1.0,0,0,0,0,0,0,,0.0,0,-0.0125,0.0125,-0.0125,1.0,1.0,1.0,True
discovery_grid_train,answer_prefix,3,noising,self_patch,all_emitted_pairs,10,10,7,1.0,1.0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,True
discovery_grid_train,answer_prefix,4,denoising,cross_patch,all_emitted_pairs,10,10,8,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0125,0.0125,0.0125,0.0,0.0,0.0,True
discovery_grid_train,answer_prefix,4,denoising,self_patch,all_emitted_pairs,10,10,8,0.0,0.0,0,0,0,0,0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,True
