recipient_row_id,donor_row_id,schedule,answer_pattern,recipient_reliability,donor_reliability,delta_a,recipient_z_bayes,donor_z_bayes,non_tie,layer,site,condition,baseline_margin,patched_margin,margin_change,design_sha256,reasoning,backend,base_reliability_regime,baseline_recipient_correct,patched_recipient_correct,baseline_counterfactual_correct,patched_counterfactual_correct,margin_change_toward_counterfactual,choice_changed,original_task_repaired,original_task_harmed
4bf5fdce5f1a32ba2618fabe,deae2b535fbd00029b3f1305,0,NYN,1/20,19/20,-2.0,5.888877958332881,-5.8888779583328805,True,2,final_prompt,reliability_interchange,-1.25,-1.25,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,False,False,True,True,-0.0,False,False,False
4bf5fdce5f1a32ba2618fabe,deae2b535fbd00029b3f1305,0,NYN,1/20,19/20,-2.0,5.888877958332881,-5.8888779583328805,True,31,final_prompt,reliability_interchange,-1.25,-1.25,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,False,False,True,True,-0.0,False,False,False
4bf5fdce5f1a32ba2618fabe,deae2b535fbd00029b3f1305,0,NYN,1/20,19/20,-2.0,5.888877958332881,-5.8888779583328805,True,29,final_prompt,reliability_interchange,-1.25,-1.125,0.125,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,False,False,True,True,-0.125,False,False,False
488fc59b80e9d7ab593e7470,c93173df329f56618b927feb,0,YNY,1/20,19/20,2.0,-5.888877958332881,5.8888779583328805,True,2,final_prompt,reliability_interchange,-0.5,-0.5,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,True,True,False,False,0.0,False,False,False
488fc59b80e9d7ab593e7470,c93173df329f56618b927feb,0,YNY,1/20,19/20,2.0,-5.888877958332881,5.8888779583328805,True,31,final_prompt,reliability_interchange,-0.5,-0.5,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,True,True,False,False,0.0,False,False,False
488fc59b80e9d7ab593e7470,c93173df329f56618b927feb,0,YNY,1/20,19/20,2.0,-5.888877958332881,5.8888779583328805,True,29,final_prompt,reliability_interchange,-0.5,-0.5,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,True,True,False,False,0.0,False,False,False
deae2b535fbd00029b3f1305,4bf5fdce5f1a32ba2618fabe,0,NYN,19/20,1/20,-2.0,-5.8888779583328805,5.888877958332881,True,2,final_prompt,reliability_interchange,-1.125,-1.125,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,high,True,True,False,False,0.0,False,False,False
deae2b535fbd00029b3f1305,4bf5fdce5f1a32ba2618fabe,0,NYN,19/20,1/20,-2.0,-5.8888779583328805,5.888877958332881,True,31,final_prompt,reliability_interchange,-1.125,-1.125,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,high,True,True,False,False,0.0,False,False,False
deae2b535fbd00029b3f1305,4bf5fdce5f1a32ba2618fabe,0,NYN,19/20,1/20,-2.0,-5.8888779583328805,5.888877958332881,True,29,final_prompt,reliability_interchange,-1.125,-1.125,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,high,True,True,False,False,0.0,False,False,False
c93173df329f56618b927feb,488fc59b80e9d7ab593e7470,0,YNY,19/20,1/20,2.0,5.8888779583328805,-5.888877958332881,True,2,final_prompt,reliability_interchange,0.125,0.125,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,high,True,True,False,False,-0.0,False,False,False
c93173df329f56618b927feb,488fc59b80e9d7ab593e7470,0,YNY,19/20,1/20,2.0,5.8888779583328805,-5.888877958332881,True,31,final_prompt,reliability_interchange,0.125,0.125,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,high,True,True,False,False,-0.0,False,False,False
c93173df329f56618b927feb,488fc59b80e9d7ab593e7470,0,YNY,19/20,1/20,2.0,5.8888779583328805,-5.888877958332881,True,29,final_prompt,reliability_interchange,0.125,0.25,0.125,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,high,True,True,False,False,-0.125,False,False,False
9311f9f54a6e9cbd74086537,45ecaeeec9668bc21ef682db,0,NYN,1/4,3/4,-2.0,2.1972245773362196,-2.1972245773362196,True,2,final_prompt,reliability_interchange,-1.0,-1.0,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,False,False,True,True,-0.0,False,False,False
9311f9f54a6e9cbd74086537,45ecaeeec9668bc21ef682db,0,NYN,1/4,3/4,-2.0,2.1972245773362196,-2.1972245773362196,True,31,final_prompt,reliability_interchange,-1.0,-1.0,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,False,False,True,True,-0.0,False,False,False
9311f9f54a6e9cbd74086537,45ecaeeec9668bc21ef682db,0,NYN,1/4,3/4,-2.0,2.1972245773362196,-2.1972245773362196,True,29,final_prompt,reliability_interchange,-1.0,-1.125,-0.125,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,False,False,True,True,0.125,False,False,False
1e81f8cb27858295de287347,3e67f2e318f4e07893e0fc12,0,YNY,1/4,3/4,2.0,-2.1972245773362196,2.1972245773362196,True,2,final_prompt,reliability_interchange,-0.375,-0.375,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,True,True,False,False,0.0,False,False,False
1e81f8cb27858295de287347,3e67f2e318f4e07893e0fc12,0,YNY,1/4,3/4,2.0,-2.1972245773362196,2.1972245773362196,True,31,final_prompt,reliability_interchange,-0.375,-0.375,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,True,True,False,False,0.0,False,False,False
1e81f8cb27858295de287347,3e67f2e318f4e07893e0fc12,0,YNY,1/4,3/4,2.0,-2.1972245773362196,2.1972245773362196,True,29,final_prompt,reliability_interchange,-0.375,-0.375,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,low,True,True,False,False,0.0,False,False,False
45ecaeeec9668bc21ef682db,9311f9f54a6e9cbd74086537,0,NYN,3/4,1/4,-2.0,-2.1972245773362196,2.1972245773362196,True,2,final_prompt,reliability_interchange,-1.0,-0.875,0.125,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,high,True,True,False,False,0.125,False,False,False
45ecaeeec9668bc21ef682db,9311f9f54a6e9cbd74086537,0,NYN,3/4,1/4,-2.0,-2.1972245773362196,2.1972245773362196,True,31,final_prompt,reliability_interchange,-1.0,-1.0,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,high,True,True,False,False,0.0,False,False,False
45ecaeeec9668bc21ef682db,9311f9f54a6e9cbd74086537,0,NYN,3/4,1/4,-2.0,-2.1972245773362196,2.1972245773362196,True,29,final_prompt,reliability_interchange,-1.0,-1.0,0.0,a36b8af3588263449b49626227600d75a3aaa8b1ac4a47b8e5eebf3a9a895848,False,native_bf16_gpu_with_cpu_weight_offload,high,True,True,False,False,0.0,False,False,False
